Codice          |Cod.commerciale   |Descrizione                             |Costruttore |Descrizione supplementare
HHAZT0_00030    |2090-K6CK-D15M    |KNTX6000 KIT CONNETTORE ENCODER MOTORE  |ALLEN BRADLE|

HHAZT0_00031    |2090-K6CK-D26M    |KNTX6000 KIT CONNETTORE PER I/O DEDICATI|ALLEN BRADLE|

HHAZT0_00032    |2090-SCEP1-0      |KNTX6000 FIBRA OTTICA PER SERCOS 1 METRO|ALLEN BRADLE|

HHAZT0_00033    |2090-XXLF-X330B   |KNTX6000 FILTRO DI LINEA ROXBURGH MIF330|ALLEN BRADLE|

HHAZT0_00034    |2090-XXNFMP-S25   |KNTX6000 CAVO ENCODER MOTORI MP 25 METRI|ALLEN BRADLE|PRECABLATO, DRITTO

HHAZT0_00035    |2090-XXNPMP-16S25 |KNTX6000 CAVO POTENZA MOTORI MP 25 METRI|ALLEN BRADLE|PRECABLATO, DRITTO

HHAZT0_00036    |2094-BC02-M02-S   |KNTX6000 MODULO DI POTENZA 15KW         |ALLEN BRADLE|

HHAZT0_00037    |2094-PRF          |KNTX6000 SLOT FILLER                    |ALLEN BRADLE|

HHAZT0_00038    |2094-PRS1         |KNTX6000 RACK DI POTENZA 1 ASSE         |ALLEN BRADLE|230V O 460V

HHAZT0_00039    |VW3E701300000     |ETHERNET/IP ADAPTER PER C600            |ELAU        |SOST.COD. 51130298

HHAZT0_00040    |0150-1763         |CONTROLLER ETHERCAT E1250-EC-UC 72V-32A |LINMOT      |

HHAZT0_00041    |VDM01D50AQ00      |MC-4/10/50/400 AZIONAMENTO MC4 50A      |ELAU        |SOST.COD. 13130256

HHAZT0_00042    |VW3E6020          |BATTERIA TAMPONE PER CONTROLLORE ELAU   |ELAU        |SOST.COD. KT10592

HHAZT0_00043    |8V1090.00-2       |AZIONAMENTO MOTORE 400-480 VAC 4.4KW    |B&R         |

HHAZT0_00044    |8AC114.60-2       |MODULO PLUG-IN POWERLINK V2             |B&R         |

HHAZT0_00045    |8AC120.60-1       |INTERFACCIA ENCODER ENDAT               |B&R         |

HHAZT0_00046    |0150-1798         |CONTROLLER ETHERCAT B1150-ML-XC 72V-25A |LINMOT      |

HHAZT0_00047    |LXM32CD72N4       |AZIONAMENTO LXM32C 72A                  |SCHNEIDER   |

HHAZT0_00048    |2094-BC01-M01-S   |KNTX6000 MODULO CONTROLLORE             |ALLEN BRADLE|

HHAZT0_00049    |2090-SCEP3-0      |KNTX6000 FIBRA OTTICA PER SERCOS 3 METRI|ALLEN BRADLE|

HHAZT0_00050    |2090-SCEP0-3      |KNTX6000 FIBRA OTTICA PER SERCOS 30 CM  |ALLEN BRADLE|

HHAZT0_00051    |2094-SEPM-B24-S   |KNTX6000 MODULO DI POTENZA              |ALLEN BRADLE|

HHAZT0_00052    |2090-CHBP8S812AA01|KNTX6000 CAVO IBRIDO IDM                |ALLEN BRADLE|

HHAZT0_00053    |2090-CHBIFS812AA09|KNTX6000 CAVO IBRIDO IPIM               |ALLEN BRADLE|

HHAZT0_00054    |2090-CNSRPRS-AA09 |KNTX6000 CAVO DI RETE                   |ALLEN BRADLE|

HHAZT0_00055    |2094-PRS2         |KNTX6000 LINEA DI TENSIONE              |ALLEN BRADLE|

HHAZT0_00056    |889D-F4ACDE-2     |KNTX6000 CAVO CON CONNETTORE            |ALLEN BRADLE|

HHAZT0_00057    |MDF-SB1003P-QJ84BS|KNTX6000 MOTORE 620M INVERTER           |ALLEN BRADLE|

HHAZT0_00058    |2090-CNSSPRS-AA01 |KNTX6000 CAVO DI RETE                   |ALLEN BRADLE|

HHAZT0_00059    |VW3E701400000     |OM-NE RT-ETHERNET OPTION PER C600       |ELAU        |SOST.COD. 51130324

HHAZT0_00060    |VW3E6007          |CONNETTORE HCN1 HYBRID CONNECTOR        |ELAU        |DA USARE CON CAVI EMO121 E EMO117

HHAZT0_P3001    |LMC600CAA10000    |PACD3 LMC600 CONTROLLORE 99 ASSI        |SCHNEIDER   |

HHAZT0_P3002    |LXM62PD84A11000   |PACD3 LXM62PD ALIM. DI POTENZA 42A      |SCHNEIDER   |

HHAZT0_P3003    |ILM62CMD20A000    |PACD3 ILM62CM DRIVER MOTORI             |SCHNEIDER   |

HHAZT0_P3004    |ILM62DB4A000      |PACD3 ILM62DB4 CIABATTA DERIVAZIONE     |SCHNEIDER   |

HHAZT0_P3005    |LXM62DC13C21000   |PACD3 LXM62D DRIVER 1 ASSE 50A          |SCHNEIDER   |

HHAZT0_P3006    |LMC101CAA10000    |PACD3 LMC101 CONTROLLORE 4 ASSI         |SCHNEIDER   |

HHAZT0_P3007    |LXM52DD30C41000   |PACD3 LXM52DD DRIVER 1 ASSE 10A         |SCHNEIDER   |

HHAZT0_P3008    |VW3E704000000     |PACD3 MODULO PROFIBUS DP PER LMC*01C    |SCHNEIDER   |

HHAZT0_P3009    |LMC201CAA10000    |PACD3 LMC201 CONTROLLORE 8 ASSI         |SCHNEIDER   |

HHAZT0_P3010    |LXM52DD72C41000   |PACD3 LXM52DD DRIVER 1 ASSE 24A         |SCHNEIDER   |

HHAZT0_P3011    |VW3E704100000     |PACD3 MODULO ETHRNET PER LMC*01C        |SCHNEIDER   |ETHERNET/IP SCANNER/ADAPTER - PROFINET - ETHERCAT SLAVE

HHAZT0_RX001    |AS9201.001        |RID20 DRIVE PRX 2KW ECAT IP65 MOLEX     |ROBOX       |PRIVO DI BASE CONNESSIONE CAVI MOTORE

HHAZT0_RX003    |AS9201.003        |RID20 DRIVE PRX 2KW ECAT IP65 ITEC      |ROBOX       |CON BASE CONNESSIONE CAVI MOTORE

HHBOX0_BX001    |GW44204           |SCATOLA PLASTICA 100X100X50             |GEWISS      |

HHBOX0_BX002    |GW44207           |SCATOLA PLASTICA 190X140X70             |GEWISS      |

HHBOX0_BX003    |GW44208           |SCATOLA PLASTICA 240X190X90             |GEWISS      |

HHBOX0_BX004    |GW44209           |SCATOLA PLASTICA 300X220X120            |GEWISS      |

HHBOX0_BX005    |GW44210           |SCATOLA PLASTICA 380X300X120            |GEWISS      |

HHBOX0_BX006    |17.04.10.00.0     |SCATOLA PLASTICA 270X270X130            |ROSE        |

HHBOX0_BX007    |17.01.10.00.0     |SCATOLA PLASTICA 170X130X130            |ROSE        |

HHBOX0_BX008    |KL1521            |SCATOLA INOX 150X50X80                  |RITTAL      |

HHBOX0_BX009    |KL1524            |SCATOLA INOX 300X200X80                 |RITTAL      |

HHBOX0_BX010    |KL1525            |SCATOLA INOX 400X200X120                |RITTAL      |

HHBOX0_BX011    |KL1516            |SCATOLA FERRO 200X200X80                |RITTAL      |

HHBOX0_BX012    |AC A2B 0909 01    |SCATOLA FERRO 90X90 H=85 MM             |ILME        |

HHBOX0_BX013    |AC A2B 0915 02    |SCATOLA FERRO 90X150 H=85 MM            |ILME        |

HHBOX0_BX014    |057360 K61        |SCATOLA ALLUMINIO 160X260X90            |WEIDMULLER  |

HHBOX0_BX015    |034250 K6         |SCATOLA ALLUMINIO 160X200X100           |WEIDMULLER  |

HHBOX0_BX016    |GW44218           |SCATOLA PLASTICA 240X190X160            |GEWISS      |

